,tweets,cluster,timestamp,type,title
0,"آج تک سمجھ نہیں آئی کہ ن لیگ کو کیوں ہر وقت اداروں اور عدالتوں کی ترجمانی کرنے کا شوق چڑھا رہتا ہے۔۔ جبکہ وہ آپکو جوتے کی نوک پر رکھتے ہیں۔کبھی تو اپنی اور اپنے سپورٹرز کی عزت نفس کا خیال رکھ لیا کریں

فلاں اداروں پہ حملہ کرتا ہے ، فلاں نے عدالت کو یہ کہہ دیا ۔بس کردیں اب راگنی",4,Thu May 26 12:17:54 +0000 2022,Tweet,User: Shahan_shahh
1,"”حضرت انس بن مالک رضی اللہ عنہ سے روایت ہے کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا کہ رسالت و نبوت ختم ہوچکی ہے، پس میرے بعد نہ کوئی رسول ہے اور نہ نبی۔“
 (ترمذی صفحہ51 جلد2، مسند احمد صفحہ267 جلد3)
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:17:54 +0000 2022,Tweet,User: MoonNig40850976
2,"اسمِ مقدس جس کا  محمد وہ احمد ، محمود  ہے
اللہ کی مخلوق میں بس وہ اللہ کا  مقصود  ہے
شک نہیں اسمیں ذات ہی اسکی وجہ ہست و بود ہے
اس کامحب،محبوب ہے حق کا اور دشمن مردود ہے
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:17:54 +0000 2022,Tweet,User: Beautyo74107161
3,"25/10/43 03:17:53 م
 
ك̷و̷د̶⁩ ⁦̸خ̷ص̸م̴⁩  .  
 ..

⁩ناےس⁩ ے⁦ون⁩ ..... https://t.co/Xi6QVzcGWW",4,Thu May 26 12:17:54 +0000 2022,Tweet,User: Rosalyn27586858
4,"مرزا قادیانی کا بیٹا لکھتا ہے: بار ہا ایک کاج کا بٹن دوسرے کاج میں لگا ہوتا تھا۔ (سیرۃ المہدی ج ۲ ص ۵۸) اسی طرح صدری کے بٹن کوٹ کے کاجوں میں لگے ہوتے تھے۔ (سیرۃ المہدی ص ۱۲۶ ج ۲)
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:17:55 +0000 2022,Tweet,User: HumaImtiaz15
5,"اےتعریف و ثناء کرنےوالے
اےبزرگی و بلندی والے
اےعہداوروفا والے
اے معافی دینےوالےاورراضی ہونےوالے
اےعطاءو بخشش کرنےوالے
اےفیصلےاورانصاف والےاےعزت اور بقاء والے
اےرحمتوں اورنعمتوں والے_
تُو پاک ہے
کہ تیرےسواکوئیمعبودنہیں_
فریادسن 
فریادسن
ہمیں آگ سےنجات دےاےپروردگار

دعائےجوشن کبیر https://t.co/QZKTdRRMnb",4,Thu May 26 12:17:55 +0000 2022,Tweet,User: SyedJaf43972095
6,"آپ صلی اللہ علیہ وسلم کی بعثت مبارک کے بعد مشرق و مغرب کے تمام جن و انس پر یہ واجب ہے کہ وہ آپ پر ایمان لائیں ایسا ایمان جیسا صحابہ کرام رضی اللہ عنھم لائے تھے ۔
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:17:55 +0000 2022,Tweet,User: Arham96818166
7,"RT @Kinza_Zeshan: پنجاب پولیس کے غنڈے اور ن لیگی گلو بٹ۔۔۔

کیسے ڈاکٹر یاسمین راشد کی گاڑی کے شیشے توڑے دیکھئیے مکمل ویڈیو
👇

https://t.co/…",4,Thu May 26 12:17:55 +0000 2022,Tweet,User: ArifKha44889844
8,"48/20/43 05:05:30 م
 
⁩؟?⁩

⁦سےفے ⁩فؤغا⁩ فؤقا ⁦كلؤسےت⁩ ⁩",2,Thu May 26 12:17:55 +0000 2022,Tweet,User: turtv1653566384
9,"بلاول اپنے لئے لابنگ کر رہا، فضلو عمرہ پر نکل گیا. 
ن والے ذلیل ہو گۓ. 
رہی کسر مریم صفدر نے پوری کر دی، جھوٹا اسلحہ اور 200 لوگ والی چولوں سے😂",4,Thu May 26 12:17:55 +0000 2022,Tweet,User: IbadatFakhra
10,ایسی ویسی تبدیلی: رانا ثنا اور شہبازشریف نے اصل میں آج پاکستان تبدیل کردیا - ایک برگراور گھریلوہجوم جوصرف نعرے لگاتا تھا آج سڑکوں پرحکومتی طاقت کے خلاف جنگجوسپاہیوں کی فوج کی طرح کھڑا ہو گیا - یہ لوگ اب کسی سے نہیں ڈریں گے- خان کو بہت بڑی سٹریٹ پاور مل گیی ہے- تبدیلی تو آ گیی ہے,0,Thu May 26 12:17:55 +0000 2022,Tweet,User: Maqsood03446991
11,"الٹا چور کوتوال کو ڈانٹے!

خود نہتے پرامن شہریوں پر فائرنگ و شیلنگ کرکے لوگوں کو زخمی کیا۔
پھر ہم پر ہی سیاسی مقدمہ درج کردیا۔

کیا مملکت خداداد میں جھوٹے مقدمے بنانے پر کسی کو سزا ملے گی؟ 
کیا پرامن احتجاج کرنا دہشتگردی ہے؟
کیا سپریم کورٹ آرڈر کے بعد یہ FIR توہین عدالت نہیں؟ https://t.co/Ui5fUluDhX",4,Thu May 26 12:17:56 +0000 2022,Tweet,User: MaliksajidH
12,"RT @ayshrumi93: تمُ  یاد  کی  مانند  بھی  آ  جاؤ  کسی  روز... 
اس  درجہ  محبت  میں  اثر  ڈھونڈ  رہا ہوں...

#اپنی_زبان_اردو",4,Thu May 26 12:17:56 +0000 2022,Tweet,User: uzmakhan1867
13,"RT @ImranRaizKhan: امپورٹڈ حکومت جاتی نظر آ رہی ہے؟کتنے فیصد

(1) 50%  (2) 70%  (3) 100%
#قائد_انقلاب_عمران_خان",4,Thu May 26 12:17:56 +0000 2022,Tweet,User: AlamZeb66739654
14,"یوم نجات #May26DeathofFalseMessiah مرزا طاہر احمد کی گستاخیاں
مسلمانوں کی توہین​
نمبر١ کل مسلمانوں نے مجھے قبول کر لیا اور میری دعوت کی تصدیق کر لی مگر کنجریوں اور بدکاروں کی اولاد نے مجھے نہیں مانا۔ (آئینہ کمالات ص ٥٤٧)",4,Thu May 26 12:17:56 +0000 2022,Tweet,User: shelters4peace
15,"RT @tbvRklrrQJmIspB: قرآن و سنت کے معانی اور مفاہیم کو مفسرین کرام اور شاحین حدیث و فقہ کے ذریعہ محفوظ فرمایا
یوم نجات
#May26DeathofFalseMe…",4,Thu May 26 12:17:56 +0000 2022,Tweet,User: HiraMem81617328
16,آج قومی اسمبلی پاکستان میں ن لیگی پی پی پی نے ظلم کیا بیرون ملک عزیز ترین پاکستانیوں کا ووٹنگ کا حق چھین لیا ہے یہ پاکستانی اپنے خون پسینے کمائی سے سالانہ 30 ارب ڈالر بھیجتے ہیں تو ہمارا خزانہ چلتا ہے ہم آج تک کنگال نہیں ہوئے یہ پاکستانی جوابی کریں ضرور کریں,1,Thu May 26 12:17:56 +0000 2022,Tweet,User: azharso89844932
17,"کپتان کے سپاہی آ جائیں آپ کے اکاؤنٹ کو مظبوط بناتے ہیں۔

ریٹویٹ 🔄 کر کے اپنا اکاؤنٹ مینشن کرتے جائیں.
اور مجھے بھی فالو کرتے جائیں۔  شکریہ۔۔
#امپورٹڈ__حکومت__نامنظور",4,Thu May 26 12:17:56 +0000 2022,Tweet,User: abdul4466798
18,آج قومی اسمبلی پاکستان میں ن لیگی پی پی پی نے ظلم کیا بیرون ملک عزیز ترین پاکستانیوں کا ووٹنگ کا حق چھین لیا ہے یہ پاکستانی اپنے خون پسینے کمائی سے سالانہ 30 ارب ڈالر بھیجتے ہیں تو ہمارا خزانہ چلتا ہے ہم آج تک کنگال نہیں ہوئے یہ پاکستانی جوابی کریں ضرور کریں,1,Thu May 26 12:17:57 +0000 2022,Tweet,User: BrohiTalha
19,آج قومی اسمبلی پاکستان میں ن لیگی پی پی پی نے ظلم کیا بیرون ملک عزیز ترین پاکستانیوں کا ووٹنگ کا حق چھین لیا ہے یہ پاکستانی اپنے خون پسینے کمائی سے سالانہ 30 ارب ڈالر بھیجتے ہیں تو ہمارا خزانہ چلتا ہے ہم آج تک کنگال نہیں ہوئے یہ پاکستانی جوابی کریں ضرور کریں,1,Thu May 26 12:17:57 +0000 2022,Tweet,User: JwgyB
20,@alizeeshan1214 @SHABAZGIL تیری بہن کی پھودی مارو تیری بہن کا رشتہ پاکستان آ کر لوں گا,4,Thu May 26 12:17:57 +0000 2022,Tweet,User: holiixburon
21,"آپ صلی اللہ علیہ وسلم کی بعثت مبارک کے بعد مشرق و مغرب کے تمام جن و انس پر یہ واجب ہے کہ وہ آپ پر ایمان لائیں ایسا ایمان جیسا صحابہ کرام رضی اللہ عنھم لائے تھے ۔
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:17:57 +0000 2022,Tweet,User: laibazahid338
22,"عمران خان نے امپورٹڈ سرکار کے تمام ناپاک عزائم کو چور چور کر دیا، ریاست کے خلاف بغاوت پر اکسانے کی تمام کوششیں ناکام رہیں، فاشسٹ حکمرانوں کے ظلم کے سامنے عوامی سمندر سیسہ پلائی دیوار بن ڈٹا رہا۔ 6 دن مزید ورنہ عوامی سمندر بلا خوف و خطر پھر ٹکرائے گا
#حقیقی_آزادی_مارچ https://t.co/hp7gv8P4Iz",4,Thu May 26 12:17:57 +0000 2022,Tweet,User: PTIKhushabPK
23,"کل کے واقعہ کے خلاف یہ ایوان ایک قرارد منظور کرے اور آئیندہ ایسے واقعات کی روک تھام کیلئے یہ ایوان حکومت کو مکمل اختیار دے تاکہ وہ عوام کی جان و مال کی مکمل حفاظت کرسکے
وزیراعظم شہباز شریف https://t.co/0PbGZbUEMw",4,Thu May 26 12:17:57 +0000 2022,Tweet,User: ca_xe
24,"@Fallacious_1 @azzumqm @AltafHussain_90 @OfficialMqm اپنے ہی میں خون میں نہانے کی
اپنے لاشوں سے مقتل سجانے کی
رسمِ کربلاٸ اب بھی ہے جاری
تلوار پہ خون کی فتح کا اعلان
حسین ع اور حسینیوں کا بس ہے بس
مسلک یزید پہ ضربِ کاری اب بھی ہے جاری
#ظلم_صرف_کراچی_میں",4,Thu May 26 12:17:58 +0000 2022,Tweet,User: AfPrns
25,"62/35/43 04:04:30 م
 
⁩؟?⁩

⁦سےفے ⁩فؤغا⁩ فؤقا ⁦كلؤسےت⁩ ⁩ https://t.co/n3qGMQXX1Y",2,Thu May 26 12:17:58 +0000 2022,Tweet,User: wujzp1653566738
26,RT @ImranRiazKhanl: عملاََ حکومت ختم ہوچکی ہے عمران خان نے ماسٹر اسٹروک کھیلا ہے ن لیگ کی سیاست دفن ہوگئی ہے,4,Thu May 26 12:17:58 +0000 2022,Tweet,User: GhulmiNamanzor_
27,88/05/2022 14:51:60 م    نمشے https://t.co/45dBjAUlMW,3,Thu May 26 12:17:58 +0000 2022,Tweet,User: qycge1653567304
28,@Shafaq_07 @iihtishamm اوورسیز پاکستانیوں کو ووٹ کا حق دے دیا گیا ہے جب چاہیں ملک میں آ جائیں ووٹ ڈالیں بچوں سے دوستوں سے ملیں اگر ووٹ بھی باھر بیٹھ کر دیدیا تو ملک کو بھول نہ جائیں گے,0,Thu May 26 12:17:58 +0000 2022,Tweet,User: ArshadA51045113
