,tweets,cluster,timestamp
0,شہبازشریف فرما عمران خان پاکستان کل آگ لگانےآیا ماشاءاللّہ حکومت عمران خان اسلام آباد چوک آگ لگانےاور معصوم شہریوں گولیاں آنسو گیس چلانےکا حکم شہبازشریف حکومت راوی پل سےمعصوم شہری انکے حکم پھینکا احساس جرم نہیں👎,0,2022-05-26 14:08:01+00:00
1,اتنا پیارا بچہ ماشاءاللّہ ♥️,0,2022-05-26 14:08:01+00:00
2,آج پارلیمانی کاروائ شامل جماعتوں ترجیحات جھلک پیش اوورسیز پاکستانیوں ووٹ حق چھین سانس نیب کاٹ دئیے گئےاگر پاکستان بااختیار اقتدار ملا روش بدلیں پرانا پاکستان بدترین شکل انکا ایجنڈا,1,2022-05-26 14:08:01+00:00
3,آج تقریبا سات آٹھ سال عمران خان نامی شخص بس پاکستان بربادی چاہیے پروجیکٹ انسان پہ بری نظر بندہ خود کام چاہتا دوسروں چاہتا بچا تباہ چاہتا😏,0,2022-05-26 14:08:01+00:00
4,لوگ یار مار سنا باپ مار جتنا نقصان باپ پاکستان پہنچایا دجال کہتا ہوگا آرام نکلونگا تنظیم کامیابی کام پے,0,2022-05-26 14:08:01+00:00
5,ہار جیت فیصلہ باقی پاکستان سالہ تاریخ پاکستانیوں پہلی دفعہ خوف بت توڑ اسکا کریڈٹ عمران خان,0,2022-05-26 14:08:01+00:00
6,لیگ حکومت الیکٹرانک ووٹنگ مشین استعمال بل ختم آج پاکستان صاف شفاف انتخابات راستہ ہمیشہ کیلئے بند 👎 اگلا ڈاکہ اوورسیز پاکستانیوں ووٹ حق 👎,0,2022-05-26 14:08:01+00:00
7,جان خان صاحب خان صاحب پورے پاکستان جان االلہ تعالی عزت ہمیشہ سچی نیت,5,2022-05-26 14:08:01+00:00
8,آج پارلیمانی کاروائ شامل جماعتوں ترجیحات جھلک پیش اوورسیز پاکستانیوں ووٹ حق چھین سانس نیب کاٹ دئیے گئےاگر پاکستان بااختیار اقتدار ملا روش بدلیں پرانا پاکستان بدترین شکل انکا ایجنڈا,1,2022-05-26 14:08:02+00:00
9,پاکستان تاریخ طویل آنسو گیس شیلنگ نسل پوری رات برداشت جسے برگر کلاس داغ دھویا پوری قوم امید مقصد سچائی قوم نرم خو لوگوں آتش وآہن بنا ہوشیار وقت بدل چکا,0,2022-05-26 14:08:02+00:00
10,آج پارلیمانی کاروائ شامل جماعتوں ترجیحات جھلک پیش اوورسیز پاکستانیوں ووٹ حق چھین سانس نیب کاٹ دئیے گئےاگر پاکستان بااختیار اقتدار ملا روش بدلیں پرانا پاکستان بدترین شکل انکا ایجنڈا,1,2022-05-26 14:08:02+00:00
11,آج قومی اسمبلی پاکستان لیگی پی پی پی ظلم بیرون ملک عزیز ترین پاکستانیوں ووٹنگ حق چھین پاکستانی خون پسینے کمائی سالانہ ارب ڈالر بھیجتے خزانہ چلتا آج کنگال پاکستانی جوابی ضرور,4,2022-05-26 14:08:02+00:00
12,تحریک انصاف رہنما حماد اظہر کل ازادی مارچ پاکستان تحریک انصاف شہید کارکن فیصل عباس جنازہ شریک,2,2022-05-26 14:08:02+00:00
13,آج صبح ڈی چوک کارکنان پاکستانی عمران خان اشارے حد پار تیار کپتان سیاست پاکستان سوچا مقصد ملک آگ لگانا پھول کھلانا پاکستانی ادارے سلجھائیں ملک الیکشن ذریعے نیا مینڈیٹ دلوائیں 🇵🇰,0,2022-05-26 14:08:02+00:00
14,آج پارلیمانی کاروائ شامل جماعتوں ترجیحات جھلک پیش اوورسیز پاکستانیوں ووٹ حق چھین سانس نیب کاٹ دئیے گئےاگر پاکستان بااختیار اقتدار ملا روش بدلیں پرانا پاکستان بدترین شکل انکا ایجنڈا,1,2022-05-26 14:08:02+00:00
15,مردے قبرستان پیپلز پارٹی لیگ لاکھوں بوگس ووٹ ڈال سکتے باہر اربوں ڈالرز پاکستان بھیجتے اوورسیز پاکستانیوں حق باہر ووٹ ڈال سکیں 👎 الیکشن کمیشن اصولی مؤقف 🖐,4,2022-05-26 14:08:02+00:00
16,فیصل ناحق جان فاشسٹ حکومت پاکستان شہریوں بدترین ظلم بربریت,6,2022-05-26 14:08:02+00:00
17,مردے قبرستان پیپلز پارٹی لیگ لاکھوں بوگس ووٹ ڈال سکتے باہر اربوں ڈالرز پاکستان بھیجتے اوورسیز پاکستانیوں حق باہر ووٹ ڈال سکیں 👎 الیکشن کمیشن اصولی مؤقف 🖐,4,2022-05-26 14:08:03+00:00
18,حکومت پاکستان یاسین ملک سزا فیصلہ عالمی عدالت چیلنج اعلان 📢 شکریہ میاں شہباز شریف 🙏🏻,0,2022-05-26 14:08:03+00:00
19,پاکستان تاریخ طویل آنسو گیس شیلنگ نسل پوری رات برداشت جسے برگر کلاس داغ دھویا پوری قوم امید مقصد سچائی قوم نرم خو لوگوں آتش وآہن بنا ہوشیار وقت بدل چکا,0,2022-05-26 14:08:03+00:00
20,مردے قبرستان پیپلز پارٹی لیگ لاکھوں بوگس ووٹ ڈال سکتے باہر اربوں ڈالرز پاکستان بھیجتے اوورسیز پاکستانیوں حق باہر ووٹ ڈال سکیں 👎 الیکشن کمیشن اصولی مؤقف 🖐,4,2022-05-26 14:08:03+00:00
21,انصاف سفر عدالتوں از خود نوٹس از خود دلائل پاکستان,6,2022-05-26 14:08:03+00:00
22,ہار جیت فیصلہ باقی پاکستان سالہ تاریخ پاکستانیوں پہلی دفعہ خوف بت توڑ اسکا کریڈٹ عمران خان,0,2022-05-26 14:08:03+00:00
23,حیثیت انکی جنکا پاکستان ہمیں معلوم پاکستان,0,2022-05-26 14:08:03+00:00
24,تحریک انصاف رہنما حماد اظہر کل ازادی مارچ پاکستان تحریک انصاف شہید کارکن فیصل عباس جنازہ شریک,2,2022-05-26 14:08:03+00:00
25,مردے قبرستان پیپلز پارٹی لیگ لاکھوں بوگس ووٹ ڈال سکتے باہر اربوں ڈالرز پاکستان بھیجتے اوورسیز پاکستانیوں حق باہر ووٹ ڈال سکیں 👎 الیکشن کمیشن اصولی مؤقف 🖐,4,2022-05-26 14:08:03+00:00
26,آج قومی اسمبلی پاکستان لیگی پی پی پی ظلم بیرون ملک عزیز ترین پاکستانیوں ووٹنگ حق چھین پاکستانی خون پسینے کمائی سالانہ ارب ڈالر بھیجتے خزانہ چلتا آج کنگال پاکستانی جوابی ضرور,4,2022-05-26 14:08:03+00:00
27,مسلح جتھے اسلحہ پورے پاکستان پولیس ہار فوج بلا,0,2022-05-26 14:08:03+00:00
28,اتنا پیارا بچہ ماشاءاللّہ ♥️,0,2022-05-26 14:08:04+00:00
29,پاکستان تاریخ طویل آنسو گیس شیلنگ نسل پوری رات برداشت جسے برگر کلاس داغ دھویا پوری قوم امید مقصد سچائی قوم نرم خو لوگوں آتش وآہن بنا ہوشیار وقت بدل چکا,0,2022-05-26 14:08:04+00:00
30,جنکو دیکھ پی ٹی کےکھو جاتےہیں ہوش حواس نام پاکستان بیٹی شیرنی مریم نواز,0,2022-05-26 14:08:04+00:00
31,آج پارلیمانی کاروائ شامل جماعتوں ترجیحات جھلک پیش اوورسیز پاکستانیوں ووٹ حق چھین سانس نیب کاٹ دئیے گئےاگر پاکستان بااختیار اقتدار ملا روش بدلیں پرانا پاکستان بدترین شکل انکا ایجنڈا,1,2022-05-26 14:08:04+00:00
32,اتنا پیارا بچہ ماشاءاللّہ ♥️,0,2022-05-26 14:08:04+00:00
33,آج قومی اسمبلی پاکستان لیگی پی پی پی ظلم بیرون ملک عزیز ترین پاکستانیوں ووٹنگ حق چھین پاکستانی خون پسینے کمائی سالانہ ارب ڈالر بھیجتے خزانہ چلتا آج کنگال پاکستانی جوابی ضرور,4,2022-05-26 14:08:04+00:00
34,مدینہ ریاست اسلامی ٹچ دےکر پاکستان سیکولرازم دھکیلنےوالا عمران خان منافق تسبیح پکڑ اسلامی ٹچ دےکر بات جھوٹ بولنےوالا عمران خان منافق بشری بی بی برقع پہناکر اسلامی ٹچ دےکر کہناگھریلو عورت مگرعمرانڈووں بیٹیاں مائیں نچانامنافقت منافقاعظم,0,2022-05-26 14:08:04+00:00
35,آج قومی اسمبلی پاکستان لیگی پی پی پی ظلم بیرون ملک عزیز ترین پاکستانیوں ووٹنگ حق چھین پاکستانی خون پسینے کمائی سالانہ ارب ڈالر بھیجتے خزانہ چلتا آج کنگال پاکستانی جوابی ضرور,4,2022-05-26 14:08:04+00:00
36,ادھر پاکستانی عوام سیدھی سیدھی گولیاں چلائی معصوم بچوں عورتوں بوڑھوں لاڑھی چارچ شیلنگ بدترین ریاستی تشدد لوگوں بغیر قانون گھروں اٹھایا پاکستان جنازے اٹھائے صاحب دیکھیں,0,2022-05-26 14:08:04+00:00
37,جلد الیکشن چاہتے حکومت خوش لوگ ریاست ریاستی اداروں خلاف اقدام اقدام حق عوام نقصان خیر اللہ پاکستان حق بہتر آمین,0,2022-05-26 14:08:04+00:00
38,پی ٹی پاکستان پانچ شہیدوں سلام,0,2022-05-26 14:08:04+00:00
39,پاکستان ساتھ ظلم کرپٹ ٹولے ریاست چوتھے ستون لوگوں کرپٹ اوکاڑہ جلسہ درخت کاٹےسٹیڈیم تعمیرات توڑ دکھ ظاہرنہ کل شیلنگ انتظامیہ لگائی آگ کئ آوازیں نوحہ کناں درخت جل,0,2022-05-26 14:08:04+00:00
