,tweets,timestamp
0,RT @RealWaqarMaliks: میرے خیال میں ن لیگ کے پاس الیکشن کروانے کے علاوہ کوئی رستہ نہیں یہ پہلے برے پھنسے ہوئے تھے اب جکڑے جاچکے ہیں۔ #حقیقی_…,Wed May 25 19:27:26 +0000 2022
1,"عمران نیازی سے شاہ محمود قریشی اور اسد عمر کی تلخ کلامی کی اطلاعات،
 آپ کو منع کر رہے تھے یہ وقت مناسب نہیں، اب آپ نے اپنے جلسوں کے بنے ہوئے  تاثر کا بھی ستیاناس کیا، اب مزے کرو ن لیگ الیکشن میں کلین سویپ کرے گی، پی ٹی آئی کے اندرونی. ذرائع
#پاکستان_دشمن_مارچ",Wed May 25 19:27:26 +0000 2022
2,سعد رفیق نے چند روز پہلے کہا تھا کہ رانا ثنا اللہ پی ٹی آئی والوں کی منجی ٹھوکے گا۔ بات صحیح ثابت ہوئی۔ رانا ثنااللہ کے حکم پر پر امن شہریوں پر حکومتی جبر و تشدد کی نئی مثالیں قائم کردی گئیں۔,Wed May 25 19:27:26 +0000 2022
3,ایسی ویسی تبدیلی: رانا ثنا اور شہبازشریف نے اصل میں آج پاکستان تبدیل کردیا - ایک برگراور گھریلوہجوم جوصرف نعرے لگاتا تھا آج سڑکوں پرحکومتی طاقت کے خلاف جنگجوسپاہیوں کی فوج کی طرح کھڑا ہو گیا - یہ لوگ اب کسی سے نہیں ڈریں گے- خان کو بہت بڑی سٹریٹ پاور مل گیی ہے- تبدیلی تو آ گیی ہے,Wed May 25 19:27:26 +0000 2022
4,"RT @_Sumaira_afzal_: تیرا باپ آ گیا
💪👊
رانے https://t.co/810fGIiA6a",Wed May 25 19:27:26 +0000 2022
5,حکومت ان چند خاص ججز کے بینچ پر اعتراض خیسں نہی کرتے؟؟کیا عداکت میں صرف یہی چند ہم خیال دلال ججز ہی ہیں جو ہر خاص کیسز میں بینچ کا حصہ ہوتے ہیں؟اوپر سے اٹارنی جنرل ایسا کھسی کہ جس منہ میں گھگھنیاں ڈالے عدالت میں جا کر سر ہلا کر آ جاتا یے,Wed May 25 19:27:26 +0000 2022
6,"RT @SdqJaan: ن لیگ کہہ رہی ہے کہ ڈھائی سو بندے ہیں، جیو کہہ رہا ہے کہ ڈی چوک پر ہزاروں لوگوں نے ہنگامہ کیا 😂😂
بیان تو ایک کر لو دونوں #حقیق…",Wed May 25 19:27:26 +0000 2022
7,"RT @meddytweets: ن لیگ کا پلان ہے کہ کسی سرکاری بلڈنگ میں توڑ پھوڑ کی جائے یا پھر آگ لگائی جائے.
ہر واقعے پر نظر رکھیں اور کیمرے آن رکھیں.…",Wed May 25 19:27:26 +0000 2022
8,"@ImranRiazKhan تم تو ایکسپریس نیوز کے ملازم ہو اسکا اسکرین شاٹ لگاؤ ناں، 😂
ویسے جتنے تم ARY کے اٹھاتے ہو انہیں خود ہی شرم آ جانی چاہیے اور تمہیں نوکری کی آفر کر دینی چاہیے، یا شاید اسی آفر کیلیے صبح شام ان کے گن گاتے ہو",Wed May 25 19:27:26 +0000 2022
9,"انتظامیہ کی یہ پالیسی درست تھی کہ ان کو اسلام آباد میں داخل نہ ہونے دیا جائے کیونکہ ہجوم کو کنٹرول کرنا ناممُکن ہو جائے گا۔ ایسے میں ججز فسادیوں کے سہولت کار بنے اور انہیں اسلام آباد پہنچا دیا۔
"" اب سنگ و خشت مُقید ہیں اور سگ آزاد """,Wed May 25 19:27:26 +0000 2022
