,tweets,timestamp,type,title
0,"پنجابیوں، مرد کے بچے ہو۔ تین دن جو ظلم، جو چھاپے، جو لاٹھی چارج، جو شیلنگ اور حملے برداشت کیے آپ نے، اور تمام حربوں کے باوجود چٹان بن کر کھڑے رہے ہو؛ سرخ سلام ہے آپکی غیرت و حمیت کو۔

ٹو مچ لو یو ہوگیا 💕🙏",Thu May 26 11:47:50 +0000 2022,Tweet,Unkown User
1,"میر جعفر نے ملک کیساتھ یہ اچھا مذاق کیا ہے کہ مریم صفدر اور شرجیل میمن جیسے مُجرم آ کر معاشرے میں سماجی اقدار پہ بات کر رہے۔
#حقیقی_آزادی_مارچ https://t.co/At2EsTcbTe",Thu May 26 11:47:51 +0000 2022,Tweet,Unkown User
2,40/07/2022 44:08:26 م    نمشے https://t.co/FOpJLGertn,Thu May 26 11:47:51 +0000 2022,Tweet,Unkown User
3,"RT @sadafsheriff35: السلام علیکم رحمۃ اللہ و برکاتہ
🌹☕#صبح_بخیر_زندگی

#صدف_کے_موتی https://t.co/AzaPq6OatX",Thu May 26 11:47:51 +0000 2022,Tweet,Unkown User
4,"37/75/43 00:08:30 م
 
⁩؟?⁩

⁦سےفے ⁩فؤغا⁩ فؤقا ⁦كلؤسےت⁩ ⁩",Thu May 26 11:47:51 +0000 2022,Tweet,Unkown User
5,"پولیس نے لوگوں کی گاڑیاں تک توڑ دیں عورتوں بچوں کو ٹارچر کیا۔پرامن مظاہرین پہ 25 ہزار آنسو گیس کے شیل پھینکے گئے۔امپورٹڈ حکومت کے ظلم و جبر کے باوجود عورتیں بچے بوڑھے جوان ثابت قدم رہے انکی آنکھوں میں امید تھی وہ اپنے لیڈر کے لیے کچھ بھی کر گزرنے کو تیار تھے۔۔
#حقیقی_آزادی_مارچ https://t.co/g8HduH5suE",Thu May 26 11:47:51 +0000 2022,Tweet,Unkown User
6,"آخر بل تھیلے سے باہر آ گئی-

قومی اسمبلی نے الیکشن ایکٹ 2017 میں ترمیم کا بل منظور کرلیا 
الیکٹرانک ووٹنگ مشین  ،اوورسیز ووٹنگ کے حوالے سے سابق حکومت کی ترامیم ختم",Thu May 26 11:47:51 +0000 2022,Tweet,Unkown User
7,"25/10/43 02:47:51 م
ك̷و̷د̶⁩ ⁦̸خ̷ص̸م̴⁩  .  
 ..

⁩ناےس⁩ ے⁦ون⁩ ..... https://t.co/oC3gNp4CWZ",Thu May 26 11:47:51 +0000 2022,Tweet,Unkown User
8,@SHABAZGIL سر عوام کو کانفرنس کر کے تھوڑا حوصلہ دیے کیونکہ ن لیگ کے لگ کہے رے ہیں میدان چھوڑ کر بھاگ گیا ہے کیا ان کے کراپشن کے کیس ختم کرنے کی ڈیل کی ھے کیا نواز کو ریلیف مل گیا ھے ؟؟؟,Thu May 26 11:47:51 +0000 2022,Tweet,Unkown User
9,"شہبازشریف ن لیگ کے ساتھ کتنا برا ہاتھ ہوا اسکا اندازہ آپکو صحافیوں کی ٹویٹس سے ہو جانا چاہیے.

الیکشن تو ہونے جا رہے اصل کام ہے عمران خان کو 2 تہائی اکثریت سے روکنا اس پر عمران خان کو کام کرنا ہوگا",Thu May 26 11:47:51 +0000 2022,Tweet,Unkown User
