,tweets,timestamp
0,RT @MajidGhadeer: یہ ایک تسلیم شدہ حقیقت ہے کہ جنسی تسکین ایک بنیادی ضرورت ہے اور جب تک انسان کی یہ بنیادی ضرورت پوری نا ہو انسان دیگر تخلی…,Tue May 17 06:20:01 +0000 2022
1,RT @realrazidada: ڈالروں میں درآمد ہونے والی اشیا کا ٹیکس بھی ڈالروں میں وصول کیا جائے۔ درآمد کنندگان اوپن مارکیٹ سے ڈالر خرید کر ایف بی آر…,Tue May 17 06:20:01 +0000 2022
2,"RT @C0L0RIST: میں عمران خان کا شکریہ ادا کرتا ہو کہ انہوں نے مجھے اپنا سیکیورٹی انچارج مقرر کیا ہے

میں وعدہ کرتا ہو کہ جس طرح ملک پاکستان…",Tue May 17 06:20:01 +0000 2022
3,"RT @Rabbia112233: بریکنگ نیوز مگر 
50/50 
امپورٹڈ حکومت نے بوری بسترا گول کر دیا ہے دعا کرو کے اب روانہ ہو جاے اپنے اپنے گھر جائے  ملک کا س…",Tue May 17 06:20:02 +0000 2022
4,RT @DoctorSaimaaa: نجم سیٹھی نے اپنے حالیہ شو میں بتایا کہ اسٹیبلشمنٹ عمران خان کو کچھ نہی کہہ سکتی،اس کی وجہ یہ ایک پوری قوم نوجوان نسل پی…,Tue May 17 06:20:02 +0000 2022
5,"RT @Its_RabiaSays: نجم سیٹھی کو امپورٹڈ حکومت نے چیرمین پی سی بی نہیں بنایا اس لیےفرسٹریشن کا شکار ہو کر بک رہا ہے !!

#امپوڑٹڈ_حکومت_نامنظ…",Tue May 17 06:20:02 +0000 2022
6,RT @UdarOfficial: رات کی تاریکی میں بتیاں بجھا کر ٹی ایم اے سیالکوٹ کی ٹیمیں پی ٹی آئی کے پرچم اتار رہی تھیں، اس دوران موٹر سائیکل سوار ٹی…,Tue May 17 06:20:02 +0000 2022
7,RT @SabirMehmood26: عوام چاہتے ہیں کہ جنہوں نے ملک کا یہ حشر کیا ان کا احتساب ہو عمران خان نے کرپشن کی ہے اس کا بھی احتساب ہو عمران خان ہر…,Tue May 17 06:20:02 +0000 2022
8,"RT @imran_khan_Hk: جب کارکردگی صفر ہو تو اپنے چینل پر بھی بندہ ذلیل ہو جاتا ہے۔
امپورٹڈ حکومت کوئی کوئی دوست ملک قرضہ نہیں دے رہا جس کو بھی…",Tue May 17 06:20:03 +0000 2022
9,RT @Sayra_Yousuf: کیا خیال ہے ایک ایک ٹویٹ #مریم_نفسیاتی کے ہیش ٹیگ پر نا ہو جاۓ؟؟,Tue May 17 06:20:03 +0000 2022
10,"RT @SHABAZGIL: کامران صاحب ان کے آقاؤں کا مشن ہی یہ تھا جو پورا ہو رہا ہے
چینی ماہرین پر حملوں اور کئ لوگوں کے جانیں دینے پر بھی چین پاکستا…",Tue May 17 06:20:03 +0000 2022
11,RT @Rabbia112233: مقابلے میں زخمی ہو گیا۔سپاہی اسے اٹھا کر واپس لانے لگے تو سپاہی مقبول حسین نے انکار کرتے ہوئے کہاکہ بجائے میں زخمی حالت م…,Tue May 17 06:20:03 +0000 2022
12,"اکھیاں وِچوں نم نئیں جاندا 
دردا کدھرے تھم نئیں جاندا 

جانا سی تے دس کے جاندا 
کوئی وی اِکو دم نئیں جاندا 

راہواں تکدے انج ہو گئے آں 
جیویں کوئی جم نئیں جاندا

ساڈی خاطر رویا سی او 
سانوں ایہو غم نئیں جاندا_____!!",Tue May 17 06:20:03 +0000 2022
13,RT @Irshaadbhatti33: حمزہ شہباز نے بھی کیا قسمت پائ ہے پہلے مہنیہ در بدر رلا۔کسی نے حلف نہیں لیا اب خبریں آرہی ہیں کہ کابینہ بننے سے پہلے…,Tue May 17 06:20:03 +0000 2022
14,"RT @realrazidada: جس نے سانحہ ماڈل ٹاون، سانحہ ساہیوال، اور ہزاروں کو انصاف دلوانا تھا، وہ کہتا ہے مجھے انصاف دلواو۔
کمال ہی ہو گیا
ڈپٹی کم…",Tue May 17 06:20:03 +0000 2022
